dt_8601,speed,count
2014-11-26T00:00:00,61,19
2014-11-26T00:05:00,62,26
2014-11-26T00:10:00,64,24
2014-11-26T00:15:00,58,15
2014-11-26T00:20:00,59,31
2014-11-26T00:25:00,69,13
2014-11-26T00:30:00,65,12
2014-11-26T00:35:00,62,32
2014-11-26T00:40:00,62,20
2014-11-26T00:45:00,62,22
2014-11-26T00:50:00,61,15
2014-11-26T00:55:00,64,23
2014-11-26T01:00:00,62,12
2014-11-26T01:05:00,61,24
2014-11-26T01:10:00,59,16
2014-11-26T01:15:00,63,21
2014-11-26T01:20:00,59,15
2014-11-26T01:25:00,61,17
2014-11-26T01:30:00,63,16
2014-11-26T01:35:00,62,21
2014-11-26T01:40:00,62,15
2014-11-26T01:45:00,61,19
2014-11-26T01:50:00,60,16
2014-11-26T01:55:00,57,13
2014-11-26T02:00:00,64,14
2014-11-26T02:05:00,59,15
2014-11-26T02:10:00,62,20
2014-11-26T02:15:00,62,30
2014-11-26T02:20:00,63,20
2014-11-26T02:25:00,61,20
2014-11-26T02:30:00,65,10
2014-11-26T02:35:00,63,19
2014-11-26T02:40:00,67,19
2014-11-26T02:45:00,60,7
2014-11-26T02:50:00,63,29
2014-11-26T02:55:00,62,19
2014-11-26T03:00:00,63,18
2014-11-26T03:05:00,59,2
2014-11-26T03:10:00,63,19
2014-11-26T03:15:00,63,19
2014-11-26T03:20:00,58,16
2014-11-26T03:25:00,63,26
2014-11-26T03:30:00,62,26
2014-11-26T03:35:00,60,19
2014-11-26T03:40:00,63,12
2014-11-26T03:45:00,62,25
2014-11-26T03:50:00,64,15
2014-11-26T03:55:00,61,11
2014-11-26T04:00:00,63,11
2014-11-26T04:05:00,60,13
2014-11-26T04:10:00,63,20
2014-11-26T04:15:00,61,27
2014-11-26T04:20:00,62,17
2014-11-26T04:25:00,59,4
2014-11-26T04:30:00,64,22
2014-11-26T04:35:00,63,21
2014-11-26T04:40:00,63,13
2014-11-26T04:45:00,60,25
2014-11-26T04:50:00,62,27
2014-11-26T04:55:00,65,7
2014-11-26T05:00:00,63,35
2014-11-26T05:05:00,62,16
2014-11-26T05:10:00,62,24
2014-11-26T05:15:00,59,10
2014-11-26T05:20:00,63,37
2014-11-26T05:25:00,60,21
2014-11-26T05:30:00,62,21
2014-11-26T05:35:00,61,22
2014-11-26T05:40:00,60,27
2014-11-26T05:45:00,59,22
2014-11-26T05:50:00,58,42
2014-11-26T05:55:00,62,35
2014-11-26T06:00:00,60,35
2014-11-26T06:05:00,61,42
2014-11-26T06:10:00,62,26
2014-11-26T06:15:00,61,40
2014-11-26T06:20:00,64,42
2014-11-26T06:25:00,65,40
2014-11-26T06:30:00,64,33
2014-11-26T06:35:00,60,38
2014-11-26T06:40:00,60,34
2014-11-26T06:45:00,64,43
2014-11-26T06:50:00,63,41
2014-11-26T06:55:00,61,27
2014-11-26T07:00:00,62,49
2014-11-26T07:05:00,63,37
2014-11-26T07:10:00,63,27
2014-11-26T07:15:00,62,33
2014-11-26T07:20:00,64,43
2014-11-26T07:25:00,63,46
2014-11-26T07:30:00,63,52
2014-11-26T07:35:00,64,30
2014-11-26T07:40:00,62,42
2014-11-26T07:45:00,63,46
2014-11-26T07:50:00,65,63
2014-11-26T07:55:00,64,52
2014-11-26T08:00:00,63,43
2014-11-26T08:05:00,63,59
2014-11-26T08:10:00,64,47
2014-11-26T08:15:00,61,51
2014-11-26T08:20:00,61,36
2014-11-26T08:25:00,62,41
2014-11-26T08:30:00,60,51
2014-11-26T08:35:00,61,66
2014-11-26T08:40:00,64,51
2014-11-26T08:45:00,62,46
2014-11-26T08:50:00,63,65
2014-11-26T08:55:00,61,55
2014-11-26T09:00:00,63,44
2014-11-26T09:05:00,61,54
2014-11-26T09:10:00,62,42
2014-11-26T09:15:00,62,48
2014-11-26T09:20:00,65,46
2014-11-26T09:25:00,61,66
2014-11-26T09:30:00,63,48
2014-11-26T09:35:00,62,50
2014-11-26T09:40:00,63,49
2014-11-26T09:45:00,61,51
2014-11-26T09:50:00,61,59
2014-11-26T09:55:00,62,66
2014-11-26T10:00:00,62,61
2014-11-26T10:05:00,62,53
2014-11-26T10:10:00,60,61
2014-11-26T10:15:00,3,0
2014-11-26T10:20:00,63,120
2014-11-26T10:25:00,63,55
2014-11-26T10:30:00,64,68
2014-11-26T10:35:00,63,56
2014-11-26T10:40:00,61,58
2014-11-26T10:45:00,62,53
2014-11-26T10:50:00,64,55
2014-11-26T10:55:00,58,49
2014-11-26T11:00:00,62,57
2014-11-26T11:05:00,67,33
2014-11-26T11:10:00,62,60
2014-11-26T11:15:00,60,80
2014-11-26T11:20:00,63,31
2014-11-26T11:25:00,63,81
2014-11-26T11:30:00,61,56
2014-11-26T11:35:00,61,44
2014-11-26T11:40:00,61,67
2014-11-26T11:45:00,63,58
2014-11-26T11:50:00,62,56
2014-11-26T11:55:00,61,69
2014-11-26T12:00:00,61,55
2014-11-26T12:05:00,63,47
2014-11-26T12:10:00,61,39
2014-11-26T12:15:00,63,73
2014-11-26T12:20:00,62,40
2014-11-26T12:25:00,63,54
2014-11-26T12:30:00,62,52
2014-11-26T12:35:00,63,60
2014-11-26T12:40:00,62,41
2014-11-26T12:45:00,61,62
2014-11-26T12:50:00,3,0
2014-11-26T12:55:00,64,112
2014-11-26T13:00:00,61,52
2014-11-26T13:05:00,62,63
2014-11-26T13:10:00,61,59
2014-11-26T13:15:00,62,58
2014-11-26T13:20:00,63,60
2014-11-26T13:25:00,60,65
2014-11-26T13:30:00,62,54
2014-11-26T13:35:00,63,52
2014-11-26T13:40:00,61,52
2014-11-26T13:45:00,62,58
2014-11-26T13:50:00,64,55
2014-11-26T13:55:00,61,71
2014-11-26T14:00:00,61,57
2014-11-26T14:05:00,62,49
2014-11-26T14:10:00,60,52
2014-11-26T14:15:00,62,63
2014-11-26T14:20:00,60,39
2014-11-26T14:25:00,61,41
2014-11-26T14:30:00,62,82
2014-11-26T14:35:00,60,61
2014-11-26T14:40:00,57,41
2014-11-26T14:45:00,61,48
2014-11-26T14:50:00,58,60
2014-11-26T14:55:00,59,41
2014-11-26T15:00:00,59,26
2014-11-26T15:05:00,59,31
2014-11-26T15:10:00,54,21
2014-11-26T15:15:00,52,15
2014-11-26T15:20:00,59,13
2014-11-26T15:25:00,54,16
2014-11-26T15:30:00,54,23
2014-11-26T15:35:00,50,10
2014-11-26T15:40:00,58,14
2014-11-26T15:45:00,57,6
2014-11-26T15:50:00,50,1
2014-11-26T15:55:00,31,1
2014-11-26T16:00:00,3,0
2014-11-26T16:05:00,3,0
2014-11-26T16:10:00,3,0
2014-11-26T16:15:00,3,0
2014-11-26T16:20:00,3,0
2014-11-26T16:25:00,3,0
2014-11-26T16:30:00,3,0
2014-11-26T16:35:00,3,0
2014-11-26T16:40:00,3,0
2014-11-26T16:45:00,3,0
2014-11-26T16:50:00,3,0
2014-11-26T16:55:00,3,0
2014-11-26T17:00:00,3,0
2014-11-26T17:05:00,3,0
2014-11-26T17:10:00,3,0
2014-11-26T17:15:00,3,0
2014-11-26T17:20:00,3,0
2014-11-26T17:25:00,3,0
2014-11-26T17:30:00,3,0
2014-11-26T17:35:00,3,0
2014-11-26T17:40:00,3,0
2014-11-26T17:45:00,3,0
2014-11-26T17:50:00,31,1
2014-11-26T17:55:00,50,1
2014-11-26T18:00:00,34,10
2014-11-26T18:05:00,35,6
2014-11-26T18:10:00,53,5
2014-11-26T18:15:00,45,9
2014-11-26T18:20:00,47,8
2014-11-26T18:25:00,50,6
2014-11-26T18:30:00,48,13
2014-11-26T18:35:00,53,9
2014-11-26T18:40:00,48,9
2014-11-26T18:45:00,48,8
2014-11-26T18:50:00,54,10
2014-11-26T18:55:00,52,8
2014-11-26T19:00:00,45,10
2014-11-26T19:05:00,56,2
2014-11-26T19:10:00,59,24
2014-11-26T19:15:00,55,17
2014-11-26T19:20:00,60,12
2014-11-26T19:25:00,59,12
2014-11-26T19:30:00,58,12
2014-11-26T19:35:00,58,11
2014-11-26T19:40:00,56,18
2014-11-26T19:45:00,48,29
2014-11-26T19:50:00,61,5
2014-11-26T19:55:00,56,11
2014-11-26T20:00:00,54,9
2014-11-26T20:05:00,52,15
2014-11-26T20:10:00,56,7
2014-11-26T20:15:00,55,13
2014-11-26T20:20:00,51,7
2014-11-26T20:25:00,59,12
2014-11-26T20:30:00,54,12
2014-11-26T20:35:00,52,10
2014-11-26T20:40:00,45,28
2014-11-26T20:45:00,54,12
2014-11-26T20:50:00,54,12
2014-11-26T20:55:00,42,7
2014-11-26T21:00:00,54,12
2014-11-26T21:05:00,54,11
2014-11-26T21:10:00,50,7
2014-11-26T21:15:00,46,7
2014-11-26T21:20:00,51,9
2014-11-26T21:25:00,52,5
2014-11-26T21:30:00,3,0
2014-11-26T21:35:00,50,1
2014-11-26T21:40:00,3,0
2014-11-26T21:45:00,48,3
2014-11-26T21:50:00,3,0
2014-11-26T21:55:00,3,0
2014-11-26T22:00:00,3,0
2014-11-26T22:05:00,3,0
2014-11-26T22:10:00,3,0
2014-11-26T22:15:00,3,0
2014-11-26T22:20:00,3,0
2014-11-26T22:25:00,3,0
2014-11-26T22:30:00,3,0
2014-11-26T22:35:00,3,0
2014-11-26T22:40:00,3,0
2014-11-26T22:45:00,43,1
2014-11-26T22:50:00,3,0
2014-11-26T22:55:00,3,0
2014-11-26T23:00:00,56,1
2014-11-26T23:05:00,45,4
2014-11-26T23:10:00,53,3
2014-11-26T23:15:00,59,6
2014-11-26T23:20:00,57,9
2014-11-26T23:25:00,58,6
2014-11-26T23:30:00,54,6
2014-11-26T23:35:00,62,3
2014-11-26T23:40:00,58,8
2014-11-26T23:45:00,58,8
2014-11-26T23:50:00,53,5
2014-11-26T23:55:00,56,1
