dt_8601,speed,count
2014-11-26T00:00:00,62,20
2014-11-26T00:05:00,59,30
2014-11-26T00:10:00,60,29
2014-11-26T00:15:00,57,13
2014-11-26T00:20:00,59,36
2014-11-26T00:25:00,62,12
2014-11-26T00:30:00,61,23
2014-11-26T00:35:00,60,29
2014-11-26T00:40:00,61,19
2014-11-26T00:45:00,58,29
2014-11-26T00:50:00,62,17
2014-11-26T00:55:00,59,23
2014-11-26T01:00:00,59,18
2014-11-26T01:05:00,58,22
2014-11-26T01:10:00,60,22
2014-11-26T01:15:00,63,24
2014-11-26T01:20:00,57,18
2014-11-26T01:25:00,59,17
2014-11-26T01:30:00,62,19
2014-11-26T01:35:00,58,22
2014-11-26T01:40:00,59,18
2014-11-26T01:45:00,58,24
2014-11-26T01:50:00,58,16
2014-11-26T01:55:00,54,14
2014-11-26T02:00:00,59,17
2014-11-26T02:05:00,60,17
2014-11-26T02:10:00,58,28
2014-11-26T02:15:00,62,27
2014-11-26T02:20:00,62,19
2014-11-26T02:25:00,59,26
2014-11-26T02:30:00,60,14
2014-11-26T02:35:00,60,21
2014-11-26T02:40:00,65,19
2014-11-26T02:45:00,61,22
2014-11-26T02:50:00,62,26
2014-11-26T02:55:00,60,20
2014-11-26T03:00:00,59,22
2014-11-26T03:05:00,62,4
2014-11-26T03:10:00,59,17
2014-11-26T03:15:00,64,21
2014-11-26T03:20:00,60,17
2014-11-26T03:25:00,59,27
2014-11-26T03:30:00,61,26
2014-11-26T03:35:00,57,18
2014-11-26T03:40:00,62,10
2014-11-26T03:45:00,60,25
2014-11-26T03:50:00,61,19
2014-11-26T03:55:00,63,10
2014-11-26T04:00:00,60,19
2014-11-26T04:05:00,59,14
2014-11-26T04:10:00,60,21
2014-11-26T04:15:00,58,26
2014-11-26T04:20:00,59,19
2014-11-26T04:25:00,59,20
2014-11-26T04:30:00,61,24
2014-11-26T04:35:00,61,19
2014-11-26T04:40:00,59,19
2014-11-26T04:45:00,59,30
2014-11-26T04:50:00,62,24
2014-11-26T04:55:00,61,12
2014-11-26T05:00:00,60,35
2014-11-26T05:05:00,60,13
2014-11-26T05:10:00,61,26
2014-11-26T05:15:00,59,30
2014-11-26T05:20:00,61,29
2014-11-26T05:25:00,59,22
2014-11-26T05:30:00,59,25
2014-11-26T05:35:00,59,24
2014-11-26T05:40:00,59,27
2014-11-26T05:45:00,56,20
2014-11-26T05:50:00,58,47
2014-11-26T05:55:00,59,35
2014-11-26T06:00:00,59,35
2014-11-26T06:05:00,58,47
2014-11-26T06:10:00,61,23
2014-11-26T06:15:00,58,51
2014-11-26T06:20:00,61,37
2014-11-26T06:25:00,61,43
2014-11-26T06:30:00,61,36
2014-11-26T06:35:00,57,48
2014-11-26T06:40:00,60,30
2014-11-26T06:45:00,60,51
2014-11-26T06:50:00,60,40
2014-11-26T06:55:00,60,26
2014-11-26T07:00:00,61,35
2014-11-26T07:05:00,62,45
2014-11-26T07:10:00,59,34
2014-11-26T07:15:00,61,38
2014-11-26T07:20:00,60,52
2014-11-26T07:25:00,59,50
2014-11-26T07:30:00,60,55
2014-11-26T07:35:00,61,43
2014-11-26T07:40:00,59,53
2014-11-26T07:45:00,60,44
2014-11-26T07:50:00,63,50
2014-11-26T07:55:00,61,50
2014-11-26T08:00:00,58,58
2014-11-26T08:05:00,61,55
2014-11-26T08:10:00,63,48
2014-11-26T08:15:00,58,60
2014-11-26T08:20:00,59,42
2014-11-26T08:25:00,59,29
2014-11-26T08:30:00,58,80
2014-11-26T08:35:00,57,60
2014-11-26T08:40:00,61,62
2014-11-26T08:45:00,61,51
2014-11-26T08:50:00,56,65
2014-11-26T08:55:00,57,59
2014-11-26T09:00:00,60,64
2014-11-26T09:05:00,58,58
2014-11-26T09:10:00,59,65
2014-11-26T09:15:00,59,58
2014-11-26T09:20:00,61,45
2014-11-26T09:25:00,58,79
2014-11-26T09:30:00,61,56
2014-11-26T09:35:00,58,60
2014-11-26T09:40:00,61,67
2014-11-26T09:45:00,59,62
2014-11-26T09:50:00,57,66
2014-11-26T09:55:00,59,70
2014-11-26T10:00:00,59,70
2014-11-26T10:05:00,58,66
2014-11-26T10:10:00,57,72
2014-11-26T10:15:00,59,69
2014-11-26T10:20:00,58,70
2014-11-26T10:25:00,58,67
2014-11-26T10:30:00,60,69
2014-11-26T10:35:00,58,77
2014-11-26T10:40:00,57,68
2014-11-26T10:45:00,57,57
2014-11-26T10:50:00,62,56
2014-11-26T10:55:00,58,62
2014-11-26T11:00:00,60,45
2014-11-26T11:05:00,63,35
2014-11-26T11:10:00,59,59
2014-11-26T11:15:00,58,72
2014-11-26T11:20:00,57,66
2014-11-26T11:25:00,60,61
2014-11-26T11:30:00,59,66
2014-11-26T11:35:00,59,53
2014-11-26T11:40:00,57,79
2014-11-26T11:45:00,59,66
2014-11-26T11:50:00,59,58
2014-11-26T11:55:00,58,70
2014-11-26T12:00:00,58,54
2014-11-26T12:05:00,57,57
2014-11-26T12:10:00,57,69
2014-11-26T12:15:00,61,73
2014-11-26T12:20:00,60,46
2014-11-26T12:25:00,58,71
2014-11-26T12:30:00,58,67
2014-11-26T12:35:00,60,62
2014-11-26T12:40:00,59,65
2014-11-26T12:45:00,58,73
2014-11-26T12:50:00,56,65
2014-11-26T12:55:00,60,70
2014-11-26T13:00:00,58,66
2014-11-26T13:05:00,58,66
2014-11-26T13:10:00,57,68
2014-11-26T13:15:00,59,50
2014-11-26T13:20:00,62,58
2014-11-26T13:25:00,57,73
2014-11-26T13:30:00,59,62
2014-11-26T13:35:00,61,63
2014-11-26T13:40:00,59,58
2014-11-26T13:45:00,60,75
2014-11-26T13:50:00,59,65
2014-11-26T13:55:00,58,77
2014-11-26T14:00:00,57,70
2014-11-26T14:05:00,60,51
2014-11-26T14:10:00,56,56
2014-11-26T14:15:00,59,62
2014-11-26T14:20:00,60,56
2014-11-26T14:25:00,57,79
2014-11-26T14:30:00,59,57
2014-11-26T14:35:00,57,78
2014-11-26T14:40:00,52,57
2014-11-26T14:45:00,57,75
2014-11-26T14:50:00,57,60
2014-11-26T14:55:00,56,65
2014-11-26T15:00:00,55,61
2014-11-26T15:05:00,58,74
2014-11-26T15:10:00,53,53
2014-11-26T15:15:00,56,72
2014-11-26T15:20:00,56,56
2014-11-26T15:25:00,51,57
2014-11-26T15:30:00,53,56
2014-11-26T15:35:00,46,39
2014-11-26T15:40:00,53,24
2014-11-26T15:45:00,53,10
2014-11-26T15:50:00,50,1
2014-11-26T15:55:00,42,9
2014-11-26T16:00:00,34,2
2014-11-26T16:05:00,3,0
2014-11-26T16:10:00,3,0
2014-11-26T16:15:00,3,0
2014-11-26T16:20:00,3,0
2014-11-26T16:25:00,3,0
2014-11-26T16:30:00,3,0
2014-11-26T16:35:00,3,0
2014-11-26T16:40:00,3,0
2014-11-26T16:45:00,3,0
2014-11-26T16:50:00,3,0
2014-11-26T16:55:00,3,0
2014-11-26T17:00:00,3,0
2014-11-26T17:05:00,3,0
2014-11-26T17:10:00,3,0
2014-11-26T17:15:00,3,0
2014-11-26T17:20:00,3,0
2014-11-26T17:25:00,37,1
2014-11-26T17:30:00,34,2
2014-11-26T17:35:00,37,2
2014-11-26T17:40:00,39,5
2014-11-26T17:45:00,40,14
2014-11-26T17:50:00,39,16
2014-11-26T17:55:00,46,16
2014-11-26T18:00:00,45,18
2014-11-26T18:05:00,36,16
2014-11-26T18:10:00,54,6
2014-11-26T18:15:00,46,25
2014-11-26T18:20:00,44,21
2014-11-26T18:25:00,49,12
2014-11-26T18:30:00,45,27
2014-11-26T18:35:00,49,26
2014-11-26T18:40:00,47,34
2014-11-26T18:45:00,48,34
2014-11-26T18:50:00,54,23
2014-11-26T18:55:00,49,35
2014-11-26T19:00:00,51,38
2014-11-26T19:05:00,54,24
2014-11-26T19:10:00,57,24
2014-11-26T19:15:00,55,34
2014-11-26T19:20:00,55,27
2014-11-26T19:25:00,58,24
2014-11-26T19:30:00,54,43
2014-11-26T19:35:00,55,49
2014-11-26T19:40:00,55,50
2014-11-26T19:45:00,51,77
2014-11-26T19:50:00,53,36
2014-11-26T19:55:00,53,64
2014-11-26T20:00:00,53,42
2014-11-26T20:05:00,48,64
2014-11-26T20:10:00,57,44
2014-11-26T20:15:00,54,57
2014-11-26T20:20:00,50,39
2014-11-26T20:25:00,54,28
2014-11-26T20:30:00,51,51
2014-11-26T20:35:00,53,45
2014-11-26T20:40:00,43,66
2014-11-26T20:45:00,48,65
2014-11-26T20:50:00,53,41
2014-11-26T20:55:00,52,31
2014-11-26T21:00:00,51,45
2014-11-26T21:05:00,48,37
2014-11-26T21:10:00,47,48
2014-11-26T21:15:00,46,19
2014-11-26T21:20:00,47,14
2014-11-26T21:25:00,47,15
2014-11-26T21:30:00,56,4
2014-11-26T21:35:00,49,7
2014-11-26T21:40:00,50,7
2014-11-26T21:45:00,50,8
2014-11-26T21:50:00,3,0
2014-11-26T21:55:00,3,0
2014-11-26T22:00:00,3,0
2014-11-26T22:05:00,43,1
2014-11-26T22:10:00,43,3
2014-11-26T22:15:00,56,1
2014-11-26T22:20:00,50,1
2014-11-26T22:25:00,43,3
2014-11-26T22:30:00,50,1
2014-11-26T22:35:00,49,11
2014-11-26T22:40:00,51,5
2014-11-26T22:45:00,50,6
2014-11-26T22:50:00,53,9
2014-11-26T22:55:00,55,5
2014-11-26T23:00:00,56,8
2014-11-26T23:05:00,49,15
2014-11-26T23:10:00,55,7
2014-11-26T23:15:00,58,7
2014-11-26T23:20:00,54,12
2014-11-26T23:25:00,55,14
2014-11-26T23:30:00,52,11
2014-11-26T23:35:00,57,10
2014-11-26T23:40:00,54,17
2014-11-26T23:45:00,56,23
2014-11-26T23:50:00,55,17
2014-11-26T23:55:00,55,20
