dt_8601,speed,count
2014-11-26T00:00:00,66,23
2014-11-26T00:05:00,63,29
2014-11-26T00:10:00,63,17
2014-11-26T00:15:00,65,14
2014-11-26T00:20:00,61,39
2014-11-26T00:25:00,64,25
2014-11-26T00:30:00,67,38
2014-11-26T00:35:00,66,18
2014-11-26T00:40:00,66,27
2014-11-26T00:45:00,66,32
2014-11-26T00:50:00,64,37
2014-11-26T00:55:00,64,38
2014-11-26T01:00:00,61,31
2014-11-26T01:05:00,66,27
2014-11-26T01:10:00,68,22
2014-11-26T01:15:00,65,29
2014-11-26T01:20:00,63,26
2014-11-26T01:25:00,66,21
2014-11-26T01:30:00,65,32
2014-11-26T01:35:00,63,23
2014-11-26T01:40:00,65,28
2014-11-26T01:45:00,66,25
2014-11-26T01:50:00,66,14
2014-11-26T01:55:00,66,11
2014-11-26T02:00:00,65,25
2014-11-26T02:05:00,64,21
2014-11-26T02:10:00,63,29
2014-11-26T02:15:00,67,25
2014-11-26T02:20:00,69,19
2014-11-26T02:25:00,66,30
2014-11-26T02:30:00,63,22
2014-11-26T02:35:00,63,31
2014-11-26T02:40:00,64,23
2014-11-26T02:45:00,66,25
2014-11-26T02:50:00,68,14
2014-11-26T02:55:00,66,36
2014-11-26T03:00:00,67,27
2014-11-26T03:05:00,65,25
2014-11-26T03:10:00,67,31
2014-11-26T03:15:00,64,19
2014-11-26T03:20:00,66,17
2014-11-26T03:25:00,64,15
2014-11-26T03:30:00,65,33
2014-11-26T03:35:00,68,22
2014-11-26T03:40:00,68,19
2014-11-26T03:45:00,64,24
2014-11-26T03:50:00,66,16
2014-11-26T03:55:00,65,18
2014-11-26T04:00:00,64,25
2014-11-26T04:05:00,66,20
2014-11-26T04:10:00,67,19
2014-11-26T04:15:00,63,24
2014-11-26T04:20:00,64,17
2014-11-26T04:25:00,65,25
2014-11-26T04:30:00,67,20
2014-11-26T04:35:00,65,29
2014-11-26T04:40:00,65,20
2014-11-26T04:45:00,68,36
2014-11-26T04:50:00,64,23
2014-11-26T04:55:00,67,24
2014-11-26T05:00:00,66,36
2014-11-26T05:05:00,65,24
2014-11-26T05:10:00,65,46
2014-11-26T05:15:00,64,25
2014-11-26T05:20:00,66,54
2014-11-26T05:25:00,66,35
2014-11-26T05:30:00,65,22
2014-11-26T05:35:00,64,18
2014-11-26T05:40:00,67,27
2014-11-26T05:45:00,64,25
2014-11-26T05:50:00,66,45
2014-11-26T05:55:00,69,22
2014-11-26T06:00:00,69,47
2014-11-26T06:05:00,67,50
2014-11-26T06:10:00,66,43
2014-11-26T06:15:00,65,45
2014-11-26T06:20:00,66,42
2014-11-26T06:25:00,63,47
