dt_8601,speed,count
2014-11-26T00:00:00,69,20
2014-11-26T00:05:00,67,18
2014-11-26T00:10:00,70,25
2014-11-26T00:15:00,64,14
2014-11-26T00:20:00,69,21
2014-11-26T00:25:00,69,18
2014-11-26T00:30:00,65,19
2014-11-26T00:35:00,67,23
2014-11-26T00:40:00,66,22
2014-11-26T00:45:00,64,23
2014-11-26T00:50:00,68,17
2014-11-26T00:55:00,80,18
2014-11-26T01:00:00,69,9
2014-11-26T01:05:00,65,27
2014-11-26T01:10:00,70,22
2014-11-26T01:15:00,69,18
2014-11-26T01:20:00,69,22
2014-11-26T01:25:00,75,17
2014-11-26T01:30:00,75,21
2014-11-26T01:35:00,76,22
2014-11-26T01:40:00,74,27
2014-11-26T01:45:00,71,28
2014-11-26T01:50:00,73,17
2014-11-26T01:55:00,77,14
2014-11-26T02:00:00,73,26
2014-11-26T02:05:00,76,15
2014-11-26T02:10:00,74,17
2014-11-26T02:15:00,75,9
2014-11-26T02:20:00,76,27
2014-11-26T02:25:00,75,24
2014-11-26T02:30:00,78,8
2014-11-26T02:35:00,74,18
2014-11-26T02:40:00,70,19
2014-11-26T02:45:00,71,18
2014-11-26T02:50:00,75,14
2014-11-26T02:55:00,74,30
2014-11-26T03:00:00,74,21
2014-11-26T03:05:00,78,4
2014-11-26T03:10:00,65,14
2014-11-26T03:15:00,69,24
2014-11-26T03:20:00,71,35
2014-11-26T03:25:00,69,25
2014-11-26T03:30:00,72,36
2014-11-26T03:35:00,71,22
2014-11-26T03:40:00,66,15
2014-11-26T03:45:00,71,28
2014-11-26T03:50:00,73,14
2014-11-26T03:55:00,77,11
2014-11-26T04:00:00,75,6
2014-11-26T04:05:00,71,20
2014-11-26T04:10:00,76,15
2014-11-26T04:15:00,70,9
2014-11-26T04:20:00,71,13
2014-11-26T04:25:00,75,20
2014-11-26T04:30:00,73,31
2014-11-26T04:35:00,70,8
2014-11-26T04:40:00,71,19
2014-11-26T04:45:00,68,27
2014-11-26T04:50:00,70,21
2014-11-26T04:55:00,70,12
2014-11-26T05:00:00,74,33
2014-11-26T05:05:00,75,21
2014-11-26T05:10:00,74,33
2014-11-26T05:15:00,71,16
2014-11-26T05:20:00,76,16
2014-11-26T05:25:00,72,29
2014-11-26T05:30:00,72,17
2014-11-26T05:35:00,72,24
2014-11-26T05:40:00,74,22
2014-11-26T05:45:00,77,20
2014-11-26T05:50:00,70,22
2014-11-26T05:55:00,71,45
2014-11-26T06:00:00,69,46
2014-11-26T06:05:00,74,36
2014-11-26T06:10:00,73,35
2014-11-26T06:15:00,69,44
2014-11-26T06:20:00,71,55
2014-11-26T06:25:00,72,33
2014-11-26T06:30:00,72,44
2014-11-26T06:35:00,72,64
2014-11-26T06:40:00,70,37
2014-11-26T06:45:00,70,50
2014-11-26T06:50:00,68,57
2014-11-26T06:55:00,70,45
2014-11-26T07:00:00,72,43
2014-11-26T07:05:00,66,41
2014-11-26T07:10:00,65,41
2014-11-26T07:15:00,66,42
2014-11-26T07:20:00,65,76
2014-11-26T07:25:00,69,61
2014-11-26T07:30:00,68,44
2014-11-26T07:35:00,70,39
2014-11-26T07:40:00,69,62
2014-11-26T07:45:00,71,63
2014-11-26T07:50:00,73,48
2014-11-26T07:55:00,68,64
2014-11-26T08:00:00,67,77
2014-11-26T08:05:00,70,62
2014-11-26T08:10:00,68,25
2014-11-26T08:15:00,23,54
2014-11-26T08:20:00,34,58
2014-11-26T08:25:00,71,64
2014-11-26T08:30:00,64,64
2014-11-26T08:35:00,61,68
2014-11-26T08:40:00,64,54
2014-11-26T08:45:00,63,74
2014-11-26T08:50:00,60,82
2014-11-26T08:55:00,58,41
2014-11-26T09:00:00,63,76
2014-11-26T09:05:00,61,83
