dt_8601,speed,count
2014-11-26T00:00:00,71,27
2014-11-26T00:05:00,74,22
2014-11-26T00:10:00,72,28
2014-11-26T00:15:00,75,15
2014-11-26T00:20:00,72,23
2014-11-26T00:25:00,71,16
2014-11-26T00:30:00,73,20
2014-11-26T00:35:00,74,27
2014-11-26T00:40:00,74,19
2014-11-26T00:45:00,75,15
2014-11-26T00:50:00,72,18
2014-11-26T00:55:00,75,17
2014-11-26T01:00:00,71,19
2014-11-26T01:05:00,3,0
2014-11-26T01:10:00,73,41
2014-11-26T01:15:00,75,14
2014-11-26T01:20:00,74,17
2014-11-26T01:25:00,73,19
2014-11-26T01:30:00,72,21
2014-11-26T01:35:00,75,17
2014-11-26T01:40:00,72,13
2014-11-26T01:45:00,74,18
2014-11-26T01:50:00,70,11
2014-11-26T01:55:00,73,16
2014-11-26T02:00:00,75,9
2014-11-26T02:05:00,70,21
2014-11-26T02:10:00,73,26
2014-11-26T02:15:00,73,28
2014-11-26T02:20:00,72,20
2014-11-26T02:25:00,70,13
2014-11-26T02:30:00,74,17
2014-11-26T02:35:00,74,15
2014-11-26T02:40:00,71,19
2014-11-26T02:45:00,72,22
2014-11-26T02:50:00,72,22
2014-11-26T02:55:00,74,22
2014-11-26T03:00:00,73,6
2014-11-26T03:05:00,71,9
2014-11-26T03:10:00,70,16
2014-11-26T03:15:00,72,26
2014-11-26T03:20:00,72,22
2014-11-26T03:25:00,75,25
2014-11-26T03:30:00,72,23
2014-11-26T03:35:00,72,9
2014-11-26T03:40:00,72,16
2014-11-26T03:45:00,71,18
2014-11-26T03:50:00,73,12
2014-11-26T03:55:00,72,19
2014-11-26T04:00:00,75,9
2014-11-26T04:05:00,73,22
2014-11-26T04:10:00,70,19
2014-11-26T04:15:00,73,26
2014-11-26T04:20:00,70,12
2014-11-26T04:25:00,69,20
2014-11-26T04:30:00,71,20
2014-11-26T04:35:00,71,16
2014-11-26T04:40:00,73,18
2014-11-26T04:45:00,71,23
2014-11-26T04:50:00,73,24
2014-11-26T04:55:00,75,16
2014-11-26T05:00:00,74,31
2014-11-26T05:05:00,72,7
2014-11-26T05:10:00,72,27
2014-11-26T05:15:00,71,30
2014-11-26T05:20:00,69,15
2014-11-26T05:25:00,71,22
2014-11-26T05:30:00,74,19
2014-11-26T05:35:00,73,29
2014-11-26T05:40:00,71,21
2014-11-26T05:45:00,72,24
2014-11-26T05:50:00,72,49
2014-11-26T05:55:00,76,24
2014-11-26T06:00:00,72,46
2014-11-26T06:05:00,73,28
2014-11-26T06:10:00,72,34
2014-11-26T06:15:00,71,44
2014-11-26T06:20:00,76,27
2014-11-26T06:25:00,74,36
2014-11-26T06:30:00,73,39
2014-11-26T06:35:00,72,42
2014-11-26T06:40:00,73,37
2014-11-26T06:45:00,71,36
2014-11-26T06:50:00,75,40
2014-11-26T06:55:00,76,15
2014-11-26T07:00:00,3,0
2014-11-26T07:05:00,73,92
2014-11-26T07:10:00,71,27
2014-11-26T07:15:00,73,27
2014-11-26T07:20:00,75,72
2014-11-26T07:25:00,75,53
2014-11-26T07:30:00,73,44
2014-11-26T07:35:00,74,50
2014-11-26T07:40:00,75,43
2014-11-26T07:45:00,75,53
2014-11-26T07:50:00,75,43
2014-11-26T07:55:00,75,61
2014-11-26T08:00:00,75,42
2014-11-26T08:05:00,75,54
