dt_8601,speed,count
2014-11-26T00:00:00,68,26
2014-11-26T00:05:00,69,36
2014-11-26T00:10:00,71,21
2014-11-26T00:15:00,67,29
2014-11-26T00:20:00,64,36
2014-11-26T00:25:00,70,29
2014-11-26T00:30:00,70,36
2014-11-26T00:35:00,69,24
2014-11-26T00:40:00,71,33
2014-11-26T00:45:00,71,37
2014-11-26T00:50:00,69,34
2014-11-26T00:55:00,68,41
2014-11-26T01:00:00,66,23
2014-11-26T01:05:00,71,32
2014-11-26T01:10:00,69,19
2014-11-26T01:15:00,66,28
2014-11-26T01:20:00,71,29
2014-11-26T01:25:00,67,32
2014-11-26T01:30:00,69,24
2014-11-26T01:35:00,70,27
2014-11-26T01:40:00,69,31
2014-11-26T01:45:00,71,27
2014-11-26T01:50:00,71,26
2014-11-26T01:55:00,68,17
2014-11-26T02:00:00,67,25
2014-11-26T02:05:00,69,18
2014-11-26T02:10:00,70,30
2014-11-26T02:15:00,69,27
2014-11-26T02:20:00,68,26
2014-11-26T02:25:00,69,31
2014-11-26T02:30:00,68,23
2014-11-26T02:35:00,68,31
2014-11-26T02:40:00,66,30
2014-11-26T02:45:00,70,24
2014-11-26T02:50:00,70,34
2014-11-26T02:55:00,70,30
2014-11-26T03:00:00,69,27
2014-11-26T03:05:00,70,17
2014-11-26T03:10:00,70,39
2014-11-26T03:15:00,69,26
2014-11-26T03:20:00,69,21
2014-11-26T03:25:00,69,27
2014-11-26T03:30:00,67,18
2014-11-26T03:35:00,69,25
2014-11-26T03:40:00,70,29
2014-11-26T03:45:00,70,25
2014-11-26T03:50:00,69,17
2014-11-26T03:55:00,68,29
2014-11-26T04:00:00,66,22
2014-11-26T04:05:00,70,27
2014-11-26T04:10:00,69,27
2014-11-26T04:15:00,69,26
2014-11-26T04:20:00,71,23
2014-11-26T04:25:00,69,24
2014-11-26T04:30:00,70,24
2014-11-26T04:35:00,67,31
2014-11-26T04:40:00,72,18
2014-11-26T04:45:00,68,40
2014-11-26T04:50:00,68,36
2014-11-26T04:55:00,69,21
2014-11-26T05:00:00,69,18
2014-11-26T05:05:00,69,27
2014-11-26T05:10:00,68,50
2014-11-26T05:15:00,68,41
2014-11-26T05:20:00,70,33
2014-11-26T05:25:00,70,37
2014-11-26T05:30:00,70,35
2014-11-26T05:35:00,69,25
2014-11-26T05:40:00,72,33
2014-11-26T05:45:00,68,20
2014-11-26T05:50:00,69,57
2014-11-26T05:55:00,71,39
2014-11-26T06:00:00,70,47
2014-11-26T06:05:00,70,51
2014-11-26T06:10:00,70,43
2014-11-26T06:15:00,70,51
2014-11-26T06:20:00,70,45
2014-11-26T06:25:00,69,46
2014-11-26T06:30:00,69,52
2014-11-26T06:35:00,70,46
2014-11-26T06:40:00,71,47
2014-11-26T06:45:00,71,53
2014-11-26T06:50:00,71,56
2014-11-26T06:55:00,72,33
