dt_8601,speed,count
2014-11-26T00:00:00,62,31
2014-11-26T00:05:00,63,32
2014-11-26T00:10:00,61,27
2014-11-26T00:15:00,62,14
2014-11-26T00:20:00,62,46
2014-11-26T00:25:00,60,25
2014-11-26T00:30:00,64,34
2014-11-26T00:35:00,64,43
2014-11-26T00:40:00,62,36
2014-11-26T00:45:00,65,36
2014-11-26T00:50:00,61,31
2014-11-26T00:55:00,63,34
2014-11-26T01:00:00,62,28
2014-11-26T01:05:00,62,25
2014-11-26T01:10:00,63,34
2014-11-26T01:15:00,62,30
2014-11-26T01:20:00,62,28
2014-11-26T01:25:00,63,31
2014-11-26T01:30:00,61,29
2014-11-26T01:35:00,60,28
2014-11-26T01:40:00,63,25
2014-11-26T01:45:00,62,30
2014-11-26T01:50:00,62,19
2014-11-26T01:55:00,64,21
2014-11-26T02:00:00,64,22
2014-11-26T02:05:00,63,27
2014-11-26T02:10:00,59,25
2014-11-26T02:15:00,60,33
2014-11-26T02:20:00,63,24
2014-11-26T02:25:00,62,27
2014-11-26T02:30:00,61,29
2014-11-26T02:35:00,60,42
2014-11-26T02:40:00,61,26
2014-11-26T02:45:00,64,22
2014-11-26T02:50:00,63,28
2014-11-26T02:55:00,63,33
2014-11-26T03:00:00,64,36
2014-11-26T03:05:00,61,20
2014-11-26T03:10:00,67,37
2014-11-26T03:15:00,62,19
2014-11-26T03:20:00,66,15
2014-11-26T03:25:00,63,34
2014-11-26T03:30:00,64,20
2014-11-26T03:35:00,65,20
2014-11-26T03:40:00,63,25
2014-11-26T03:45:00,63,37
2014-11-26T03:50:00,59,21
2014-11-26T03:55:00,63,18
2014-11-26T04:00:00,61,27
2014-11-26T04:05:00,63,30
2014-11-26T04:10:00,64,25
2014-11-26T04:15:00,62,23
2014-11-26T04:20:00,65,30
2014-11-26T04:25:00,64,34
2014-11-26T04:30:00,62,22
2014-11-26T04:35:00,61,30
2014-11-26T04:40:00,64,25
2014-11-26T04:45:00,63,35
2014-11-26T04:50:00,62,29
2014-11-26T04:55:00,61,20
2014-11-26T05:00:00,63,47
2014-11-26T05:05:00,64,20
2014-11-26T05:10:00,62,51
2014-11-26T05:15:00,60,46
2014-11-26T05:20:00,62,48
2014-11-26T05:25:00,62,49
2014-11-26T05:30:00,62,26
2014-11-26T05:35:00,63,36
2014-11-26T05:40:00,66,30
2014-11-26T05:45:00,62,26
2014-11-26T05:50:00,60,54
2014-11-26T05:55:00,62,46
2014-11-26T06:00:00,65,40
2014-11-26T06:05:00,61,51
2014-11-26T06:10:00,59,56
2014-11-26T06:15:00,61,61
2014-11-26T06:20:00,64,45
2014-11-26T06:25:00,61,54
2014-11-26T06:30:00,59,62
2014-11-26T06:35:00,61,58
2014-11-26T06:40:00,61,44
2014-11-26T06:45:00,63,57
2014-11-26T06:50:00,62,57
2014-11-26T06:55:00,63,39
2014-11-26T07:00:00,65,74
2014-11-26T07:05:00,62,63
2014-11-26T07:10:00,62,52
2014-11-26T07:15:00,60,66
2014-11-26T07:20:00,61,65
2014-11-26T07:25:00,62,69
2014-11-26T07:30:00,61,74
2014-11-26T07:35:00,62,69
2014-11-26T07:40:00,61,66
2014-11-26T07:45:00,61,66
2014-11-26T07:50:00,64,74
2014-11-26T07:55:00,64,74
2014-11-26T08:00:00,61,70
2014-11-26T08:05:00,61,79
2014-11-26T08:10:00,62,73
2014-11-26T08:15:00,62,80
2014-11-26T08:20:00,62,59
2014-11-26T08:25:00,64,51
2014-11-26T08:30:00,63,99
2014-11-26T08:35:00,62,80
2014-11-26T08:40:00,60,85
2014-11-26T08:45:00,61,79
2014-11-26T08:50:00,62,86
2014-11-26T08:55:00,63,91
2014-11-26T09:00:00,61,86
2014-11-26T09:05:00,62,79
2014-11-26T09:10:00,62,72
2014-11-26T09:15:00,60,83
2014-11-26T09:20:00,62,82
2014-11-26T09:25:00,60,94
2014-11-26T09:30:00,60,88
2014-11-26T09:35:00,63,84
2014-11-26T09:40:00,60,85
2014-11-26T09:45:00,62,92
2014-11-26T09:50:00,61,98
2014-11-26T09:55:00,61,102
2014-11-26T10:00:00,63,103
2014-11-26T10:05:00,62,78
2014-11-26T10:10:00,62,78
2014-11-26T10:15:00,61,98
2014-11-26T10:20:00,59,97
2014-11-26T10:25:00,59,83
2014-11-26T10:30:00,59,81
2014-11-26T10:35:00,62,107
2014-11-26T10:40:00,61,85
2014-11-26T10:45:00,59,90
2014-11-26T10:50:00,62,98
2014-11-26T10:55:00,60,78
2014-11-26T11:00:00,60,121
2014-11-26T11:05:00,58,65
2014-11-26T11:10:00,60,134
2014-11-26T11:15:00,60,107
2014-11-26T11:20:00,60,86
2014-11-26T11:25:00,59,76
2014-11-26T11:30:00,61,82
2014-11-26T11:35:00,59,103
2014-11-26T11:40:00,60,92
2014-11-26T11:45:00,60,94
2014-11-26T11:50:00,58,91
2014-11-26T11:55:00,56,88
2014-11-26T12:00:00,62,92
2014-11-26T12:05:00,60,82
2014-11-26T12:10:00,60,87
2014-11-26T12:15:00,62,96
2014-11-26T12:20:00,59,93
2014-11-26T12:25:00,60,93
2014-11-26T12:30:00,58,97
2014-11-26T12:35:00,60,94
2014-11-26T12:40:00,59,92
2014-11-26T12:45:00,63,101
2014-11-26T12:50:00,59,102
2014-11-26T12:55:00,62,89
2014-11-26T13:00:00,59,88
